Date	Time	Binary	Target	Elapsed	Cores	Execs	Exec/sec	Cycles	Paths	Crashes	Reason	TestVer
2023-08-27	04:54:12	/usr/local/bin/php-cgi	/var/www/openemr/        	1199	4	1044673	952	3120	1	0		
2023-08-27	05:14:29	/usr/local/bin/php-cgi	/var/www/openemr/interface/login/login.php	1200	4	963877	220	1663	6	0		
2023-08-27	05:34:47	/usr/local/bin/php-cgi	/var/www/openemr/interface/themes/themeBuilder.php	1200	4	751300	306	261	8	0		
2023-08-27	05:55:04	/usr/local/bin/php-cgi	/var/www/openemr/interface/product_registration/product_registration_controller.php	1199	4	833052	227	325	8	0		
2023-08-27	06:15:21	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/main_screen.php	1200	4	141669	108	37	25	0		
2023-08-27	06:35:38	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/tabs/main.php	1199	4	300953	171	56	8	0		
2023-08-27	06:55:55	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/tabs/timeout_iframe.php	1200	4	242179	200	62	9	0		
2023-08-27	07:16:12	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/main_info.php	1199	4	278844	289	124	9	0		
2023-08-27	07:36:29	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/messages/messages.php	1200	4	348765	277	123	17	0		
2023-08-27	07:56:46	/usr/local/bin/php-cgi	/var/www/openemr/library/ajax/dated_reminders_counter.php	1200	4	293133	115	43	8	0		
2023-08-27	08:17:04	/usr/local/bin/php-cgi	/var/www/openemr/library/ajax/execute_background_services.php	1200	4	56413	25	4	10	0		
2023-08-27	08:37:21	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/calendar/index.php	1201	4	270919	12	57	12	0		
2023-08-27	08:57:39	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/dated_reminders/dated_reminders.php	1201	4	273065	322	40	8	0		
2023-08-27	09:17:56	/usr/local/bin/php-cgi	/var/www/openemr/interface/usergroup/facilities.php	1200	4	310911	176	41	10	0		
2023-08-27	09:38:13	/usr/local/bin/php-cgi	/var/www/openemr/interface/weno/admin.php	1200	4	275670	102	48	8	0		
2023-08-27	09:58:30	/usr/local/bin/php-cgi	/var/www/openemr/interface/usergroup/addrbook_list.php	1199	4	360399	282	74	16	0		
2023-08-27	10:18:47	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/referrals_report.php	1200	4	383662	192	95	29	0		
2023-08-27	10:39:04	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/backup.php	1200	4	319026	391	44	10	0		
2023-08-27	10:59:21	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/manage_site_files.php	1200	4	317931	92	46	9	0		
2023-08-27	11:19:38	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/edit_list.php	1200	4	240371	272	46	18	0		
2023-08-27	11:39:55	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/edit_layout.php	1200	4	272228	225	37	8	0		
2023-08-27	12:00:13	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/rules/index.php	1200	4	345178	334	46	10	0		
2023-08-27	12:20:30	/usr/local/bin/php-cgi	/var/www/openemr/interface/code_systems/dataloads_ajax.php	1200	4	295456	253	51	8	0		
2023-08-27	12:40:47	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_file/reminder/patient_reminders.php	1199	4	301031	167	48	8	0		
2023-08-27	13:01:04	/usr/local/bin/php-cgi	/var/www/openemr/controller.php	1201	4	368658	301	59	33	0		
2023-08-27	13:21:22	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_file/encounter/superbill_custom_full.php	1201	4	314957	237	70	23	0		
2023-08-27	13:41:40	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/edit_globals.php	1201	4	294324	249	49	11	0		
2023-08-27	14:01:58	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_file/merge_patients.php	1200	4	313000	470	63	13	0		
2023-08-27	14:22:15	/usr/local/bin/php-cgi	/var/www/openemr/interface/billing/sl_eob_search.php	1200	4	266137	211	37	8	0		
2023-08-27	14:42:33	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/types.php	1200	4	305513	122	51	8	0		
2023-08-27	15:02:50	/usr/local/bin/php-cgi	/var/www/openemr/interface/language/language.php	1200	4	363261	329	74	27	0		
2023-08-27	15:23:07	/usr/local/bin/php-cgi	/var/www/openemr/interface/forms_admin/forms_admin.php	1200	4	326815	141	60	12	0		
2023-08-27	15:43:24	/usr/local/bin/php-cgi	/var/www/openemr/interface/billing/edih_view.php	1200	4	251867	260	41	9	0		
2023-08-27	16:03:41	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/orders_results.php	1200	4	339195	299	60	35	0		
2023-08-27	16:23:59	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/display_documents.php	1201	4	284871	354	43	8	0		
2023-08-27	16:44:17	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/procedure_provider_list.php	1200	4	300425	206	43	8	0		
2023-08-27	17:04:34	/usr/local/bin/php-cgi	/var/www/openemr/interface/billing/new_payment.php	1200	4	315143	241	65	16	0		
2023-08-27	17:24:51	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/about_page.php	1200	4	335527	277	58	8	0		
2023-08-27	17:45:09	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_tracker/patient_tracker.php	1200	4	332687	287	60	17	0		
2023-08-27	18:05:26	/usr/local/bin/php-cgi	/var/www/openemr/interface/super/manage_document_templates.php	1200	4	298511	282	44	8	0		
2023-08-27	18:25:44	/usr/local/bin/php-cgi	/var/www/openemr/interface/patient_file/barcode_label.php	1200	4	295801	178	48	8	0		
2023-08-27	18:46:01	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/appointments_report.php	1200	4	344309	414	58	35	0		
2023-08-27	19:06:18	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/daily_summary_report.php	1199	4	350081	288	60	33	0		
2023-08-27	19:26:35	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/appt_encounter_report.php	1199	4	335663	281	77	28	0		
2023-08-27	19:46:52	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/edi_271.php	1200	4	249460	247	28	9	0		
2023-08-27	20:07:09	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/encounters_report.php	1201	4	298180	224	59	20	0		
2023-08-27	20:27:27	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/custom_report_range.php	1200	4	316203	315	64	30	0		
2023-08-27	20:47:44	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/prescriptions_report.php	1200	4	311193	299	60	16	0		
2023-08-27	21:08:01	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/immunization_report.php	1200	4	315303	370	48	39	0		
2023-08-27	21:28:19	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/clinical_reports.php	1200	4	274759	274	50	16	0		
2023-08-27	21:48:36	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/patient_list.php	1200	4	349191	302	63	19	0		
2023-08-27	22:08:53	/usr/local/bin/php-cgi	/var/www/openemr/interface/usergroup/usergroup_admin.php	1200	4	297429	174	56	17	0		
2023-08-27	22:29:11	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/finder/dynamic_finder.php	1201	4	293321	162	48	8	0		
2023-08-27	22:49:29	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/finder/dynamic_finder_ajax.php	1200	4	230889	92	26	11	0		
2023-08-27	23:09:46	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/insurance_allocation_report.php	1200	4	317341	277	69	13	0		
2023-08-27	23:30:04	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/unique_seen_patients_report.php	1200	4	295361	285	60	14	0		
2023-08-27	23:50:21	/usr/local/bin/php-cgi	/var/www/openemr/interface/orders/load_compendium.php	1200	4	246159	213	45	8	0		
2023-08-28	00:10:38	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/patient_edu_web_lookup.php	1200	4	308001	252	55	11	0		
2023-08-28	00:30:55	/usr/local/bin/php-cgi	/var/www/openemr/custom/chart_tracker.php	1200	4	325179	220	68	13	0		
2023-08-28	00:51:12	/usr/local/bin/php-cgi	/var/www/openemr/interface/main/authorizations/authorizations.php	1200	4	275351	333	49	8	0		
2023-08-28	01:11:30	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/background_services.php	1200	4	266247	329	41	8	0		
2023-08-28	01:31:47	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/collections_report.php	1199	4	254965	225	36	8	0		
2023-08-28	01:52:04	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/svc_code_financial_report.php	1200	4	314060	280	71	26	0		
2023-08-28	02:12:21	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/receipts_by_method_report.php	1200	4	316299	327	52	35	0		
2023-08-28	02:32:38	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/front_receipts_report.php	1199	4	288570	214	49	11	0		
2023-08-28	02:52:55	/usr/local/bin/php-cgi	/var/www/openemr/interface/reports/direct_message_log.php	1200	4	271581	310	41	8	0		
